,sample_id,source_id,source_subject,source_domain,target_domain,target_subject,target_field,relations,source_paragraph,target_paragraph,distractor_target_paragraph
346,834How does a computer virus infect a computer?,834,How does a virus infect an animal?,Biomedical and Health Sciences,Engineering,How does a computer virus infect a computer?,Computer Engineering,"(virus, enters, organism) like (virus, enters, computer). (virus, attaches, cell wall) like (virus, attaches, software). (virus, replicates, genetic material) like (virus, replicates, code)","A virus enters an organism and attaches itself to the cell wall. This allows the virus to gain access to the cell’s genetic material. The virus then replicates its own genetic material using the cell’s genetic material. This process results in the infection of the cell, and the virus is then able to spread to other cells in the organism.","A computer virus enters a computer through a variety of methods, such as downloading malicious software, clicking on a malicious link, or opening an infected file. Once the virus is on the computer, it can attach itself to existing software programs or create new malicious software programs. The virus then replicates its code and spreads throughout the computer, infecting other files and programs."," A computer virus enters a computer. Then, the virus replicates its code and spreads throughout the computer, infecting other files and programs. After spreading, the virus attaches itself to existing software programs or creates new malicious software programs."
347,256How does the human respiratory system works?,256,Describe the process of breathing.,Natural Sciences,Biomedical and Health Sciences,How does the human respiratory system works?,Biomedical and Health Sciences,"(diaphragm, contracts, chest cavity) like (muscles, contracts, lungs). (oxygen, inhaled, trachea) like (air, inhaled, nose). (carbon dioxide, exhaled, mouth) like (waste, exhaled, bronchioles)","Breathing is an important process that helps the body function properly. The diaphragm contracts, causing the chest cavity to expand. This draws air into the lungs through the trachea, where oxygen is inhaled. The oxygen is then used by the body and the remaining air, now filled with carbon dioxide, is exhaled through the mouth.",The human respiratory system is responsible for inhalation and exhalation. Muscles contract and relax to allow for the expansion and contraction of the lungs. Air is inhaled through the nose and passes through the trachea and bronchi until it reaches the alveoli. Oxygen is taken from the air and waste gases are exhaled through the bronchioles.," The muscles contract and relax to allow for the expansion and contraction of the lungs. Then, waste gases are exhaled through the bronchioles. After exhalation, air is inhaled through the nose and passes through the trachea and bronchi until it reaches the alveoli. Finally, oxygen is taken from the air."
348,443How do wind currents spread pollen from one plant to another?,443,How do bees pollinate plants?,Natural Sciences,Natural Sciences,How do wind currents spread pollen from one plant to another?,Botany,"(bees, transport, pollen) like (wind, transport, pollen). (bees, collect, nectar) like (wind, disperse, pollen). (bees, deposit, pollen grains) like (wind, deposit, pollen grains)","Bees transport pollen from one plant to another as they move from flower to flower. As bees collect nectar from the flower, they also collect the pollen from the stamens of the flower. The pollen then sticks to the hairs of the bee. The bees then deposit the pollen grains onto the stigma of the next flower that they visit, allowing for pollination to occur.","Wind is a major factor in the spread of pollen from one plant to another. The wind transports and disperses the pollen, carrying it away from the plant and carrying it to another. The wind deposits the pollen grains onto the other plants, allowing them to reproduce and spread the pollen."," Wind is a major factor in the spread of pollen. Then, plants reproduce and spread the pollen. After the plants have reproduced, the wind transports and disperses the pollen. Finally, the wind deposits the pollen grains onto other plants."
349,1183How does a sewage treatment plant work?,1183,How does a water purifier work?,Engineering,Social Sciences,How does a sewage treatment plant work?,Environmental Science,"(filters, remove, impurities) like (filters, remove, pollutants). (sedimentation, separates, solid particles) like (sedimentation, separates, suspended solids). (chlorine, disinfects, water) like (chlorine, disinfects, wastewater)","A water purifier works by passing water through filters that remove impurities. The process of sedimentation is used to separate solid particles from the water. Finally, chlorine is used to disinfect the water, ensuring that it is safe to use.","A sewage treatment plant works to process wastewater and remove pollutants from it. This is done by running the wastewater through various filters which can remove pollutants such as oils and heavy metals. The wastewater then goes through a sedimentation process to separate out suspended solids, such as sand and gravel. Finally, chlorine is added to the wastewater to disinfect it and make it safe to be released back into the environment."," Initially, chlorine is added to the wastewater to disinfect it and make it safe for release back into the environment. Following this, the sewage treatment plant begins to process the wastewater to remove pollutants. The wastewater is then run through various filters to remove pollutants like oils and heavy metals. Finally, the wastewater undergoes a sedimentation process to separate out suspended solids like sand and gravel."
350,563How does a combustion engine work?,563,How does a steam engine work?,Engineering,Engineering,How does a combustion engine work?,Mechanical Engineering,"(boiler, produces, steam) like (combustion chamber, produces, combustion gas). (piston, moves with, steam pressure) like (piston, moves with, combustion gas pressure). (valve, regulates, steam flow) like (valve, regulates, combustion gas flow)","A steam engine works by producing steam in a boiler. The steam is then directed to a piston, which moves with the pressure of the steam. The steam is then directed through the valve, which regulates the flow of the steam. The piston is then pushed back and forth by the steam, producing the energy that powers the engine.","A combustion engine works by burning fuel in a combustion chamber, which produces combustion gas. The combustion gas pressure is what moves the piston and causes the engine to run. The valve in the combustion chamber regulates the flow of combustion gas and helps to maintain the correct pressure level."," The pressure of the combustion gas moves the piston and causes the engine to run. Following this, fuel is burnt in a combustion chamber to produce combustion gas. Finally, the valve in the combustion chamber regulates the flow of combustion gas and helps maintain the correct pressure."
351,317What happens during the erosion of soil?,317,What happens during weathering?,Natural Sciences,Social Sciences,What happens during the erosion of soil?,Geology,"(Rain, erodes, rocks) like (Rain, erodes, soil). (Wind, breaks, rocks) like (Wind, breaks, soil). (Sunlight, weakens, rocks) like (Sunlight, weakens, soil). (Temperature, cracks, rocks) like (Temperature, cracks, soil)","During weathering, rain erodes rocks, wind breaks them apart, and sunlight weakens them over time. Temperature changes can also cause rocks to crack, weakening them further. All these processes work together to break down rocks into smaller pieces.","Erosion of soil is a process in which rain and wind break, weaken, and crack the soil. The rain erodes the soil by washing away the top layers. The wind breaks the soil particles apart, while the sunlight weakens the bonds between the soil particles. Temperature changes also play a role in the erosion of soil, as drastic changes in temperature can cause the soil to crack."," Rain and wind break, weaken, and crack the soil. Then, the sunlight weakens the bonds between the soil particles. After that, the wind breaks the soil particles apart. Subsequently, the rain erodes the soil by washing away the top layers. Finally, temperature changes cause the soil to crack."
352,165How does the digestive system process food?,165,How does the stomach work?,Biomedical and Health Sciences,Biomedical and Health Sciences,How does the digestive system process food?,Biomedical and Health Sciences,"(stomach, breaks down, food) like (digestive system, breaks down, food). (stomach acid, kills, bacteria) like (enzymes, kills, bacteria). (stomach muscles, churn, food) like (intestinal muscles, churn, food)",The stomach is responsible for breaking down food. The stomach muscles churn the food to help the digestive process. The stomach also produces gastric acid which helps to kill bacteria and break down food. This acid also helps to dissolve minerals and vitamins so they can be absorbed by the body. The combination of churning and gastric acid helps to break down the food so it can be used by the body.,"The digestive system is responsible for breaking down food. Enzymes are released to break down the food into smaller components. These enzymes also kill bacteria, which is important for promoting good health. The intestinal muscles churn the food, enabling it to be absorbed by the body. This process helps the body get the essential nutrients it needs to function properly."," The body first absorbs the nutrients from the food. Then, enzymes are released to reduce the food into smaller parts and kill bacteria. Afterward, the digestive system breaks down the food. Finally, the intestinal muscles churn the food."
353,433How do you cultivate crops?,433,How do you grow vegetables?,Natural Sciences,Social Sciences,How do you cultivate crops?,Agricultural Science,"(seeds, germinate, soil) like (seeds, sprout, soil). (fertilizer, boosts, growth) like (manure, boosts, growth). (water, nourishes, plants) like (irrigation, nourishes, crops)",The process of growing vegetables starts with planting seeds in the soil. The seeds need the right environmental conditions to germinate. Adding fertilizer to the soil can provide the necessary nutrients and boost the growth of the plants. Water is also essential to nourish the plants and keep them healthy.,"The process of cultivating crops begins by planting seeds into the soil. The seeds will then sprout and begin to grow. Manure can be added to the soil to boost the growth of the plants. It is also important to provide irrigation to the crops, as this will nourish them and help them to thrive."," The seeds sprout and begin to grow. After sprouting, seeds are planted into the soil. Manure is then added to the soil to boost the growth of the plants. Finally, the crops are irrigated."
354,382How does a bacteria cause infection?,382,How does a virus cause disease?,Biomedical and Health Sciences,Natural Sciences,How does a bacteria cause infection?,Microbiology,"(virus, invades, cells) like (bacteria, invades, organs). (virus, replicates, itself) like (bacteria, multiplies, itself). (virus, produces, toxins) like (bacteria, produces, toxins)","A virus is an infectious agent that invades cells in the body. Once inside the cells, the virus replicates itself, releasing more viruses. These newly released viruses then go on to invade other cells. As the virus replicates, it also produces toxins that can cause damage to the cells resulting in disease.","Bacteria can cause infection when it invades an organ. It multiplies itself, creating an infection. The bacteria produces toxins, which can cause further damage to the infected organ. These toxins can cause inflammation, pain, and other symptoms of infection."," Bacteria invade an organ. The toxins then cause inflammation, pain, and other symptoms of infection. After the symptoms appear, bacteria multiply themselves, creating an infection. Finally, the bacteria produce toxins, causing further damage to the infected organ."
355,619Describe how carbon dioxide is transported in the body,619,Describe how oxygen reaches cells in the body,Biomedical and Health Sciences,Natural Sciences,Describe how carbon dioxide is transported in the body,Natural Sciences,"(lungs, absorb, oxygen) like (lungs, exhale, carbon dioxide). (hemoglobin, carries, oxygen) like (hemoglobin, carries, carbon dioxide). (capillaries, deliver, oxygen) like (capillaries, deliver, carbon dioxide)","Our lungs absorb oxygen from the air we breathe. This oxygen is then carried by hemoglobin molecules in our blood. The capillaries then transport this oxygen to the cells in our body, allowing them to function properly.","The body exhales carbon dioxide from the lungs and this gas is then carried by hemoglobin, which circulates through the blood. The hemoglobin then delivers the carbon dioxide to the capillaries, where it is released into the tissues and organs. The carbon dioxide is then transported to the lungs, where the cycle starts again."," The carbon dioxide is first carried by hemoglobin and circulates through the blood. Then, the body exhales carbon dioxide from the lungs. After exhaling, the hemoglobin delivers the carbon dioxide to the capillaries, where it is released into the tissues and organs. Finally, the carbon dioxide is transported back to the lung, where the cycle starts again."
356,522Describe the life cycle of a human,522,Describe the life cycle of a bird,Natural Sciences,Social Sciences,Describe the life cycle of a human,Social Sciences,"(egg, hatches, chick) like (fetus, develops, baby). (juvenile, matures, adult) like (child, matures, adult). (adult, reproduces, egg) like (adult, reproduces, fetus)","The life cycle of a bird begins with an egg, which hatches into a chick. As the chick matures, it develops into a juvenile, then an adult. The adult bird reproduces and creates an egg, thus beginning the cycle anew.","The life cycle of a human beings starts with the conception of a fetus in the womb of a mother. The fetus then develops over the course of nine months, eventually growing into a baby. The baby continues to grow and mature, eventually becoming an adult. As an adult, the human is capable of reproducing, thus creating a new fetus and starting the life cycle anew."," The life cycle of a human beings starts with the conception of a fetus in the womb of a mother. As an adult, the human is capable of reproducing, thus creating a new fetus and starting the life cycle anew. The fetus then develops over the course of nine months, eventually growing into a baby. The baby continues to grow and mature, eventually becoming an adult."
357,917How is a tsunami generated?,917,What causes an earthquake to occur?,Natural Sciences,Engineering,How is a tsunami generated?,Civil Engineering,"(tectonic plates, shift, Earth's crust) like (water, shifts, ocean bed). (fault lines, release, seismic energy) like (wave, releases, kinetic energy). (ground vibrations, spread, seismic waves) like (tsunami waves, spread, water waves)","Earthquakes are caused when tectonic plates shift in the Earth's crust. This movement creates pressure on the fault lines, which then release seismic energy. This energy creates ground vibrations that spread out in all directions as seismic waves.","A tsunami is generated when the water shifts on the ocean bed. This displacement of water causes a wave which releases kinetic energy. The energy is then transferred from the point of displacement and travels outward from the epicenter in the form of tsunami waves, which spread out like ordinary water waves."," The water shifts on the ocean bed, generating a tsunami. The tsunami waves, spreading out like ordinary water waves, travel outward from the epicenter. After the waves have spread, the displacement of water causes a wave which releases kinetic energy. Finally, the energy is then transferred from the point of displacement."
358,384How does a bacteria infect a host?,384,How does a virus cause disease?,Biomedical and Health Sciences,Natural Sciences,How does a bacteria infect a host?,Microbiology,"(virus, invades, cells) like (bacteria, invades, tissue). (virus, replicates, inside cells) like (bacteria, replicates, inside host). (virus, releases, toxins) like (bacteria, releases, toxins)","A virus is a microscopic organism that invades cells inside the body. Once inside the cells, the virus replicates itself and releases toxins that can cause damage to the cells. This damage can lead to diseases, such as the common cold and flu, which are caused by the virus.",Bacteria invade the tissue of a host and replicate inside them. The bacteria then releases toxins which can cause symptoms and further damage to the host. These toxins can weaken the immune system of the host and allow the bacteria to spread to other parts of the body.," Bacteria invade the tissue of a host and replicate inside them. These toxins then weaken the immune system of the host. After the immune system is weakened, the bacteria release toxins which can cause symptoms and further damage to the host. Finally, the bacteria spread to other parts of the body."
359,475Describe the process of climate change,475,Describe the process of global warming,Natural Sciences,Natural Sciences,Describe the process of climate change,Natural Sciences,"(greenhouse gases, trap, heat) like (greenhouse gases, trap, infrared radiation). (temperature, rises, atmosphere) like (temperature, increases, atmosphere). (ice, melts, polar regions) like (glaciers, recede, polar regions)","Global warming is the process of the Earth's temperature rising due to an increase in the number of greenhouse gases in the atmosphere. These gases trap the heat from the Sun and prevent it from escaping back into space. As a result, the temperature of the planet rises, causing ice in the polar regions to melt. This melting ice contributes further to the rise in temperature as the lack of white surfaces, which reflect the heat, exacerbates the situation.","Climate change is a global phenomenon caused by the increased emissions of greenhouse gases. These gases trap infrared radiation, leading to an increase in the temperature of the atmosphere. This increase in temperature causes glaciers in polar regions to recede and sea levels to rise."," Climate change is a global phenomenon caused by the increased emissions of greenhouse gases. This increase in temperature causes glaciers in polar regions to recede. These gases trap infrared radiation, leading to an increase in the temperature of the atmosphere. As glaciers recede, sea levels rise."
360,1295How does a filtration system remove impurities from air?,1295,How does a desalination plant remove salt from water?,Engineering,Engineering,How does a filtration system remove impurities from air?,Mechanical Engineering,"(salt, dissolves in, water) like (impurities, dissolves in, air). (seawater, pumped through, membranes) like (polluted air, pumped through, filters). (saltwater, filtered out, other side of membranes) like (impure air, filtered out, other side of filters)","Salt dissolves in water and forms a solution known as seawater. In a desalination plant, seawater is pumped through a series of membranes that are designed to filter out the saltwater. The saltwater is then filtered out on the other side of the membranes, leaving fresh drinking water on the other side.","Impurities in the air dissolve in the air and become part of the air flow. The polluted air is then pumped through the filters in a filtration system. The filters act as a barrier and separate out the impure air on one side, while allowing clean air to pass through to the other side. The impure air is filtered out on the other side of the filters, leaving clean air on the other side."," Impurities in the air dissolve and become part of the air flow. The impure air is then filtered out on the other side of the filters, leaving clean air on the other side. After the air has been filtered, the polluted air is pumped through the filters in a filtration system. Finally, the filters act as a barrier and separate out the impure air on one side, allowing clean air to pass through to the other side."
361,1077Describe the process of cell division.,1077,Describe the process of DNA replication.,Biomedical and Health Sciences,Biomedical and Health Sciences,Describe the process of cell division.,Biomedical and Health Sciences,"(DNA, replicates, itself) like (cell, divides, itself) . (DNA strands, unzip, themselves) like (chromosomes, separate, themselves) . (DNA strands, serve, as templates) like (chromosomes, serve, as templates)","DNA replication is the process by which DNA replicates itself. The double-stranded DNA molecule is unzipped at the origin of replication, and each of the unzipped strands serves as a template for the production of a new complementary strand. The original two strands of DNA are referred to as the parental strands, while the newly replicated strands are referred to as the daughter strands.","Cell division is a process whereby a cell divides itself into two or more cells. During this process, the chromosome material within the cell must separate itself into two equal parts. The chromosomes serve as templates for the division, ensuring that each daughter cell will have the same genetic material as the original cell."," The cell is preparing to divide itself. Then, cell division occurs, producing two or more cells with identical genetic material. After the division, the chromosome material within the cell separates itself into two equal parts. Finally, the chromosomes serve as templates for the division."
362,652Describe the life cycle of a family,652,Describe the life cycle of a rabbit,Natural Sciences,Social Sciences,Describe the life cycle of a family,Sociology,"(doe, gives birth to, litter) like (parents, give birth to, children). (juvenile rabbit, matures, into adult) like (child, matures, into adult). (adult rabbit, reproduces, new litter) like (parent, reproduces, new family)","A doe gives birth to a litter of juvenile rabbits. As the juvenile rabbits mature, they become adults. Once the adult rabbits are mature, they are capable of reproducing and creating a new litter of rabbits. The life cycle of a rabbit starts with a doe giving birth and continues with an adult rabbit reproducing and beginning the cycle again.","The life cycle of a family begins with the parents giving birth to children. The child matures into an adult and then reproduces, creating a new family. The parents then start the cycle again, giving birth to more children who will mature into adults and reproduce, creating a new family."," Parents give birth to children. Then, the now adult child reproduces, creating a new family. After creating a new family, the child matures into an adult. Following this, parents give birth to more children. Finally, these children also mature into adults and reproduce, creating new families."
363,318What happens during erosion?,318,What happens during weathering?,Natural Sciences,Natural Sciences,What happens during erosion?,Earth Science,"(water, breaks down, rocks) like (wind, breaks down, rocks). (rain, wears away, soil) like (flowing water, wears away, soil). (sunlight, causes, chemical reactions) like (sunlight, causes, chemical reactions)",Weathering is the process of breaking down rocks and other materials over time. Water is one of the main agents responsible for weathering as it seeps into the crevices of rocks and breaks them down. Rain also wears away the soil over time. Sunlight also contributes to the weathering process as it causes various chemical reactions that further break down rocks and other materials.,"Erosion is the process by which natural forces like wind, water, and sunlight shape the earth's surface. Wind breaks down rocks, while flowing water wears away soil. Sunlight also causes chemical reactions that can further erode the land. All of these forces combine to form the process of erosion."," Natural forces including wind, water, and sunlight begin to shape the earth's surface. All of these forces combine to form the process of erosion. After the process of erosion has formed, wind breaks down rocks. Then, flowing water wears away soil. Finally, sunlight causes chemical reactions that further erode the land."
364,526Describe the development of a human from a single cell,526,Describe the life cycle of a human,Biomedical and Health Sciences,Biomedical and Health Sciences,Describe the development of a human from a single cell,Biomedical and Health Sciences,"(Fertilization, initiates, zygote) like (Cell division, initiates, embryo). (Embryo, matures, fetus) like (Fetus, matures, newborn). (Newborn, transitions, toddler) like (Toddler, transitions, child). (Child, matures, adolescent) like (Adolescent, matures, adult). (Adult, ages, elderly) like (Elderly, ages, senescent)","The life cycle of a human begins with fertilization, which initiates the zygote. The zygote develops into an embryo and matures into a fetus. Once the fetus is born, it transitions into a newborn and then a toddler. As the child matures, they become an adolescent. As they reach adulthood, they will continue to age until they become an elderly individual.","The development of a human from a single cell begins with cell division, which initiates the formation of the embryo. As the fetus matures, it transitions into a newborn. As the newborn grows, it transitions into a toddler and eventually a child. As the child matures, it transitions into an adolescent and then an adult. As the adult ages, it transitions into the elderly and eventually reaches a senescent state."," The development of a human from a single cell starts with cell division, creating an embryo. The embryo matures into a fetus and eventually becomes a newborn. The child then matures and becomes an adolescent. After becoming an adolescent, the newborn grows and gradually transitions into a toddler and then a child. The adolescent transitions into an adult. The adult ages, becomes elderly, and finally reaches senescence."
365,1204How does a cell produce hormones?,1204,How are proteins synthesized in a cell?,Biomedical and Health Sciences,Social Sciences,How does a cell produce hormones?,Biomedical and Health Sciences,"(amino acids, combine to form, proteins) like (steroids, combine to form, hormones). (ribosomes, assemble, proteins) like (glands, assemble, hormones). (enzymes, catalyze, protein synthesis) like (enzymes, catalyze, hormone synthesis)","Proteins are synthesized in a cell when amino acids combine to form chains of amino acid molecules. These chains are then assembled by ribosomes, which are molecular machines that can read the information encoded in the DNA molecule. Additionally, enzymes act as catalysts to speed up the process of protein synthesis.","The production of hormones in a cell begins with the synthesis of steroid molecules. These steroids combine to form the hormones, which are then assembled in the glands. Enzymes in the cell then catalyze the synthesis of the hormones, which are then released into the bloodstream."," The production of hormones in a cell begins with the synthesis of steroid molecules. These hormones are then assembled in the glands before the steroid molecules combine to form hormones. Enzymes in the cell then catalyze the synthesis of the hormones, which are then released into the bloodstream."
366,665Describe the process of purifying water,665,Describe the process of desalination,Engineering,Biomedical and Health Sciences,Describe the process of purifying water,Biomedical and Health Sciences,"(seawater, removes, salt) like (contaminated water, removes, impurities). (reverse osmosis, filters, salt) like (filtration, filters, pollutants). (evaporation, concentrates, salt) like (distillation, concentrates, contaminants)","Desalination is the process of removing salt from seawater. Reverse osmosis is a process that filters the salt out of the water. This filtered salt-free water is then passed through an evaporation process, which concentrates the salt in a different container. The salt-free water is then available for use.","The process of purifying water involves removing impurities and pollutants from contaminated water. Filtration is a common method of purification -- it involves filtering out pollutants like dirt, debris, and chemicals. Distillation is another method of purification which concentrates contaminants and separates them from the water. By using a combination of these two processes, it is possible to purify contaminated water and make it safe for consumption."," The process of purifying water begins by removing impurities and pollutants from contaminated water. After this initial step, the combination of filtration and distillation makes the water safe for consumption. However, the water is then filtered to remove pollutants like dirt, debris, and chemicals. Finally, the water is distilled to concentrate contaminants and separate them from the water."
367,1265How does a bee construct a hive?,1265,How does a bird build a nest?,Natural Sciences,Social Sciences,How does a bee construct a hive?,Social Sciences,"(bird, collects, twigs) like (bee, collects, wax). (bird, lines, nest) like (bee, lines, hive). (bird, weaves, nest) like (bee, weaves, hive)","A bird builds a nest by collecting twigs from its surroundings. It then uses these twigs to line the nest and weave it together. Through this process, the bird is able to create a sturdy place to lay its eggs and rest. The twigs provide stability and insulation for the nest, allowing the bird to keep its eggs safe and warm.","A bee collects wax from flowers and transports them back to the hive. The bee then lines the hive with the wax, forming a structure. The bee then weaves the wax together to create the walls and hexagonal cells of the hive."," A bee starts by lining the hive with wax, forming a structure. After forming the structure, the bee then goes out to collect wax from flowers. The bee then transports the collected wax back to the hive. Finally, the bee weaves the wax together to create the walls and hexagonal cells of the hive."
368,1184How does a fuel cell generate power?,1184,How does does a battery produce electricity?,Engineering,Biomedical and Health Sciences,How does a fuel cell generate power?,Biomedical and Health Sciences,"(battery, stores, chemical energy) like (fuel cell, stores, chemical energy). (electrons, move through, electrodes) like (ions, move through, electrodes). (electrolyte, facilitates, electron transfer) like (electrolyte solution, facilitates, ion transfer)","A battery is a device that stores chemical energy. When a circuit is completed, electrical energy is produced as electrons move through the electrodes. The electrolyte, which is a liquid or paste, facilitates the transfer of electrons from one electrode to the other. This process of electron transfer produces electricity that can be used to power a device.","A fuel cell stores chemical energy from a fuel source, such as hydrogen or methane. When a current is applied, the fuel cell undergoes an electrochemical reaction and the chemical energy is converted into electrical energy. The ions move through the electrodes, and the electrolyte solution facilitates this ion transfer. The electrons are pulled through an external circuit, producing a current that can be used to power an electrical device."," A fuel cell stores chemical energy from a fuel source, such as hydrogen or methane. Then, the electrons are pulled through an external circuit, producing a current that can be used to power an electrical device. After that, a current is applied, and the fuel cell undergoes an electrochemical reaction and the chemical energy is converted into electrical energy. Finally, the ions move through the electrodes, and the electrolyte solution facilitates this ion transfer."
369,772How does the human heart work?,772,How do lungs work?,Biomedical and Health Sciences,Biomedical and Health Sciences,How does the human heart work?,Cardiology,"(lungs, take in, oxygen) like (heart, take in, oxygen). (lungs, release, carbon dioxide) like (heart, release, carbon dioxide). (alveoli, exchange, gases) like (ventricles, exchange, blood)","The lungs take in oxygen and release carbon dioxide. The oxygen is then transferred to the alveoli, small air sacs in the lungs, where it is exchanged for carbon dioxide. The alveoli then release the carbon dioxide, which is expelled when we exhale. The oxygen is then circulated through the body to provide energy to the cells.","The human heart is a complex organ that takes in oxygen and releases carbon dioxide. The heart is composed of four chambers: two atria, which take in the oxygen-rich blood, and two ventricles, which exchange the oxygen-rich blood with the carbon dioxide-rich blood. The oxygen-rich blood is then sent out to the body, while the carbon dioxide-rich blood is sent back to the heart to be released.  The ventricles play an important role in this process by controlling the flow of blood and exchanging the blood between the two chambers."," The human heart takes in oxygen and releases carbon dioxide. Immediately, the oxygen-rich blood is sent out to the body. It is important to note that the heart is composed of four chambers: two atria, which take in the oxygen-rich blood and two ventricles, which exchange the oxygen-rich blood with the carbon dioxide-rich blood. The carbon dioxide-rich blood is then sent back to the heart to be released. The ventricles play an important role in this process by controlling the flow of blood and exchanging the blood between the two chambers."
370,441How does an air conditioning system keep a room cool?,441,Describe how perspiration helps to keep someone cool.,Biomedical and Health Sciences,Engineering,How does an air conditioning system keep a room cool?,Electrical Engineering,"(sweat, evaporates, surface of skin) like (refrigerant, evaporates, coils). (evaporation, absorbs, heat) like (condensation, absorbs, heat). (body, cools, down) like (room, cools, down)","When someone perspires, sweat is released from their body onto the surface of their skin. The evaporation of this sweat absorbs the heat from their skin, helping to keep the body cool. As the sweat evaporates, it takes the heat away from the body, which causes the body to cool down.","An air conditioning system works by using a refrigerant that evaporates in the coils. The evaporating refrigerant absorbs the heat from the air and then condenses. The condensation releases the heat to the outside air, which causes the room to cool down."," The air conditioning system works by using a refrigerant that evaporates in the coils. The evaporating refrigerant absorbs the heat from the air. As a result of the heat absorption, the room cools down. Following the cooling of the room, the refrigerant then condenses. Finally, the condensation releases the heat to the outside air."
371,232How does radar work?,232,How does echolocation work?,Natural Sciences,Engineering,How does radar work?,Electrical Engineering,"(sonar, emits, sound waves) like (radar, emits, radio waves). (echo, reflects off, object) like (radio wave, reflects off, object). (echoes, detected by, bat) like (radio waves, detected by, radar)","Echolocation is a technique used by some animals like bats to find their way in the dark. The bat uses sonar to emit sound waves. These sound waves then travel outward until they hit an object and reflect back as an echo. The echoes are then detected by the bat, allowing it to determine the location, size, and shape of the object.","Radar works by emitting radio waves. These radio waves are sent out into the environment and then reflect off of any object in the area. The reflected radio waves are then detected by the radar, giving it information about the object. The radio waves can also measure the distance, size, speed, and direction of the object, allowing the radar to provide detailed information about its surroundings."," Radar emits radio waves. Then, the reflected radio waves are detected by the radar. After detection, the radio waves are sent out into the environment. Subsequently, the radio waves reflect off of any object in the area. Finally, information is gathered about the object including distance, size, speed and direction."
372,721How does condensation occur in the atmosphere?,721,How are clouds formed?,Natural Sciences,Natural Sciences,How does condensation occur in the atmosphere?,Atmospheric Science,"(water vapor, rises, higher altitudes) like (air, rises, higher altitudes) . (temperature, drops, saturated level) like (humidity, drops, saturated level) . (water droplets, form, clouds) like (water molecules, condense, clouds)","Clouds are formed when water vapor rises up to the higher altitudes in the atmosphere. As the water vapor rises, the temperature drops, causing it to reach its saturated level. At this point, the water droplets condense and form clouds.","When air rises to higher altitudes, the pressure drops and the humidity drops below the saturated level. This creates a decrease in temperature and causes water molecules to condense together. The condensed water molecules form clouds in the atmosphere."," When air rises to higher altitudes, the condensed water molecules form clouds in the atmosphere. Following this, the pressure drops and the humidity drops below the saturated level, creating a decrease in temperature. Finally, water molecules condense together."
373,1250Describe how data is transmitted from one computer to another over the internet,1250,Describe how a message travels from one person to another over via telephone,Engineering,Engineering,Describe how data is transmitted from one computer to another over the internet,Computer Engineering,"(sound waves, travel along, telephone line) like (data packets, travel along, internet connection). (microphone, converts, sound) like (transmitter, converts, digital signal). (receiver, amplifies, sound) like (receiver, amplifies, digital signal)","When a person speaks into the telephone, sound waves travel along the telephone line. The microphone converts the sound into electrical signals. The electrical signals are then amplified by the receiver before being sent through the telephone line to the other person. The receiver at the other end then amplifies the signals and converts them back into sound waves that can be heard.","Data is transmitted from one computer to another over the internet by sending data packets along an internet connection. The transmitter converts the data into a digital signal, which is then sent over the internet. The receiver amplifies the digital signal before it is received by the computer. This allows for data to be transmitted from one computer to another without any loss of information."," The receiver amplifies the digital signal before it is received by the computer. After amplification, the transmitter converts the data into a digital signal, which is then sent over the internet. Finally, data is transmitted from one computer to another over the internet by sending data packets along an internet connection."
374,1005How does a device for cooling water works?,1005,How do you make ice cubes?,Engineering,Engineering,How does a device for cooling water works?,Mechanical Engineering,"(freezer, cools, water) like (cooling device, cools, water). (ice trays, freeze, water) like (cooling coils, freeze, water). (temperature, decreases, water) like (temperature, decreases, water)","Making ice cubes is a fairly easy process. You will need an ice tray and a freezer. The freezer cools the water, which causes the temperature of the water to decrease. The ice trays then help to freeze the water into cubes. Once the water is frozen, the ice cubes can be removed from the tray and used as desired.","A cooling device is used to cool water. The device consists of several cooling coils that are used to freeze the water. The water is passed through the coils, and as a result, the temperature of the water decreases. The cooled water is then circulated through the cooling device, which helps to keep the water at a lower temperature."," The cooled water is then circulated through the cooling device, maintaining its lower temperature. After that, water is passed through the cooling coils of the device. As a result, the water cools as it passes through the cold coils. Finally, a cooling device is used."
375,1156How is coal formed?,1156,How is oil formed?,Natural Sciences,Natural Sciences,How is coal formed?,Natural Sciences,"(organic matter, decomposes, underground) like (plant matter, decomposes, underground). (hydrocarbons, accumulate, sedimentary rocks) like (carbon-rich compounds, accumulate, sedimentary rocks). (heat, increases, pressure) like (heat, increases, pressure)","Oil is formed when organic matter such as plants and animals decomposes underground over millions of years. Hydrocarbons are created as a result and accumulate in sedimentary rocks. The heat and pressure from the Earth's surface increases over time, which causes the hydrocarbons to form oil.","Coal is formed from the decomposition of plant matter that is buried underground. As the plant matter decomposes, carbon-rich compounds accumulate in sedimentary rocks. Over time, the heat and pressure of the surrounding environment increases, causing the carbon-rich compounds to form coal."," Plant matter is buried underground. Then, the carbon-rich compounds form coal from the increased heat and pressure. After the formation of coal, the plant matter decomposes and carbon-rich compounds accumulate in sedimentary rocks. Finally, the heat and pressure of the surrounding environment increases."
