,sample_id,source_id,source_subject,source_domain,target_domain,target_subject,target_field,relations,source_paragraph,target_paragraph,distractor_target_paragraph,random_target_paragraph
305,846How does the lymphatic system remove waste from the human body?,846,How does blood remove waste from the human body?,Biomedical and Health Sciences,Biomedical and Health Sciences,How does the lymphatic system remove waste from the human body?,Biomedical and Health Sciences,"(blood, carries, toxins) like (lymph, carries, toxins). (kidney, filters, blood) like (lymph nodes, filters, lymph). (liver, detoxifies, blood) like (spleen, detoxifies, lymph)","Blood carries toxins and waste throughout the body. The kidney then filters the blood and removes these toxins from the body. The liver also plays an important role in the process of waste removal. It detoxifies the blood, breaking down toxins and helping the body to eliminate them.","The lymphatic system is responsible for carrying away toxins from the body. The lymph, a clear fluid, circulates through the body and carries the toxins away. The lymph nodes act as filters and work to remove unwanted particles from the lymph. The spleen also works to detoxify the lymph and remove any bacteria or viruses that may be present."," The lymphatic system carries away toxins from the body. Then, the spleen works to detoxify the lymph, removing bacteria or viruses. After the spleen has detoxified the lymph, it circulates through the body carrying the toxins away. Finally, the lymph nodes filter the lymph by removing unwanted particles.","A forest fire starts.
The trees and plants burn.
The animals lose their homes.
If the animals can not escape, they may die from smoke inhalation.
The plants that provide food are gone.
The animals have little to eat."
306,807How do you freeze water into ice cubes?,807,How do you make ice cubes?,Engineering,Social Sciences,How do you freeze water into ice cubes?,Chemistry,"(refrigerator, cools, air) like (freezer, cools, water). (condensation, forms, water droplets) like (sublimation, forms, ice cubes). (temperature, drops, below freezing) like (temperature, drops, below 0°C)","To make ice cubes, the refrigerator cools the air inside it. This causes condensation to form, which are small water droplets. As the temperature drops below freezing, the water droplets turn into solid ice cubes.","To freeze water into ice cubes, you need to place it in the freezer. The freezer cools the water and causes the temperature to drop below 0°C. At this point, the water molecules begin to slow down, and a process called sublimation occurs, where the water turns into ice cubes."," The freezer cools the water and causes the temperature to drop below 0°C. After the water is cooled, it is then placed in the freezer. Once in the freezer, the water molecules begin to slow down. Finally, the sublimation process occurs, turning the water into ice cubes.","Water droplets in clouds collide.
Become bigger drops.
Ice particles also grow in clouds.
Drops and ice particles get heavier.
Drops fall to the ground.
Ice particles fall from the clouds.
Ice particles fall through warmer air and melt.
Ice reaches the ground as rain drops."
307,515Describe the life cycle of a butterfly,515,Describe the life cycle of a frog,Natural Sciences,Natural Sciences,Describe the life cycle of a butterfly,Entomology,"(Frog, hatches, tadpole) like (Butterfly, hatches, caterpillar). (Tadpole, develops, legs) like (Caterpillar, develops, wings). (Frog, metamorphoses, froglet) like (Butterfly, metamorphoses, chrysalis). (Froglet, matures, adult frog) like (Chrysalis, matures, adult butterfly)","A frog starts its life cycle when it hatches from an egg as a tadpole. As it grows, it develops legs and begins to metamorphose into a froglet. It then matures into an adult frog. The entire process from egg to adult frog typically takes 8-12 weeks.","A butterfly begins its life cycle when it hatches from an egg as a caterpillar. The caterpillar then feeds and develops wings as it grows. After a period of growth, the caterpillar undergoes metamorphosis, transforming into a chrysalis. In the chrysalis, the butterfly matures until it emerges as an adult butterfly."," A butterfly begins its life cycle when it hatches from an egg as a caterpillar. The caterpillar then feeds and develops wings as it grows. In the chrysalis, the butterfly matures until it emerges as an adult butterfly. After emerging as an adult butterfly, the caterpillar undergoes metamorphosis, transforming into a chrysalis.","A machine called a pulverizer grinds the coal into a fine powder.
The coal powder mixes with hot air, which helps the coal burn more efficiently, and the mixture moves to the furnace.
The burning coal heats water in a boiler, creating steam.
Steam released from the boiler powers an engine called a turbine, transforming heat energy from burning coal into mechanical energy that spins the turbine engine.
The spinning turbine is used to power a generator, a machine that turns mechanical energy into electric energy.
This happens when magnets inside a copper coil in the generator spin.
A condenser cools the steam moving through the turbine. As the steam is condensed, it turns back into water.
The water returns to the boiler, and the cycle begins again."
308,377Describe how carbon dioxide leaves cells in the body,377,Describe how oxygen reaches cells in the body,Biomedical and Health Sciences,Natural Sciences,Describe how carbon dioxide leaves cells in the body,Biology,"(lungs, take in, oxygen) like (lungs, release, carbon dioxide). (hemoglobin, carries, oxygen) like (hemoglobin, transports, carbon dioxide). (capillaries, absorb, oxygen) like (capillaries, expel, carbon dioxide)","The lungs take in oxygen from the air and it is then carried by hemoglobin molecules in the bloodstream. The hemoglobin molecules move through the capillaries, where oxygen is absorbed and released into the cells of the body. The cells require oxygen to carry out a variety of metabolic processes, so the delivery of oxygen to them is crucial for the maintenance of life.","The lungs are responsible for releasing carbon dioxide from the body. In order to do this, hemoglobin molecules transport carbon dioxide from the cells to the lungs. The capillaries in the lungs then expel the carbon dioxide into the air when we exhale."," Carbon dioxide is expelled into the air when we exhale. Following this, hemoglobin molecules transport carbon dioxide from the cells to the lungs. Finally, the capillaries in the lungs then expel the carbon dioxide.","Magma cools inside the crust.
Magma crystalizes.
Lava cools on the surface.
Lava crystalizes.
Minerals dissolved in water crystlize."
309,1137How do bats locate their prey?,1137,How do owls hunt at night?,Natural Sciences,Natural Sciences,How do bats locate their prey?,Animal Behavior,"(owls, use, sound waves) like (bats, use, echolocation). (ears, detect, sound waves) like (ears, detect, echoes). (sound waves, bounce off, prey) like (echoes, bounce off, prey)","Owls use sound waves to hunt at night. Their ears are highly sensitive and can detect the sound waves they emit. The sound waves bounce off their prey and they can use the reflected sound waves to locate where the prey is. By using sound waves, the owls have an advantage in the dark, as they can locate their prey with ease.","Bats use an intriguing method known as echolocation to locate their prey. They produce sound waves that travel through the air and bounce off the objects in the environment. Their ears detect the echoes that bounce off the prey, allowing them to locate it in their surroundings.  The bats use this method to find food in the dark, which helps them survive in their natural habitat."," Bats produce sound waves that travel through the air. Using these sound waves, bats locate their prey in the dark. After locating their prey, the sound waves bounce off the objects in the environment. Finally, the echoes that bounce off the prey are detected by the bats' ears.","A blood clot forms in the break.
Cells in the clot keep foreign objects out.
Cells create a soft callous.
Minerals are added to the callous.
The callous hardens because of the minerals.
The callous is removed by other cells.
Excess bone is removed.
The bone is restored to its initial shape and strength."
310,905How does the digestive system work?,905,How does the stomach work?,Biomedical and Health Sciences,Natural Sciences,How does the digestive system work?,Biology,"(stomach, digests, food) like (digestive system, digests, food). (stomach acid, breaks down, proteins) like (enzymes, break down, proteins). (muscles, contract, to mix food) like (muscles, contract, to mix food)","The stomach is responsible for digesting food. It does this by breaking down proteins with stomach acid. Additionally, muscles in the stomach will contract in order to mix the food and push it through the digestive system. This process helps the stomach to break down food and absorb the nutrients.","The digestive system is responsible for breaking down food into molecules that can be absorbed and used by the body. Enzymes in the digestive system break down proteins into amino acids, carbohydrates into sugars and fats into fatty acids. The muscles in the digestive system contract to mix food and move it through the system. This helps in breaking down the food further so that it can be digested more easily."," The digestive system is responsible for breaking down food into molecules that can be absorbed and used by the body. The muscles in the digestive system contract to mix food and move it through the system. This helps in breaking down the food further so that it can be digested more easily. After the food has been mixed and moved, enzymes in the digestive system break down proteins into amino acids, carbohydrates into sugars and fats into fatty acids.","Two birds meet each other.
Egg is produced after fertilziation.
Mother sits on egg until it hatches.
Bird Hatches.
Grows up.
Flee the next.
Starts family.
Dies."
311,301How does a wheelchair provide mobility for a person with a disability?,301,How do you use a skateboard?,Engineering,Biomedical and Health Sciences,How does a wheelchair provide mobility for a person with a disability?,iomedical and Health Sciences,"(skateboard, provides, transportation) like (wheelchair, provides, mobility). (feet, push, skateboard) like (hands, push, wheelchair). (wheels, roll, skateboard) like (wheels, roll, wheelchair)","Using a skateboard provides a great form of transportation. To use it, you place your feet on the skateboard and push off the ground to get it moving. The wheels on the skateboard then roll along the ground, propelling you forward.","A wheelchair provides mobility for a person with a disability by allowing them to push the wheelchair with their hands. The wheels of the wheelchair make it possible to roll the wheelchair, allowing the person to move around freely. The wheelchair is designed to be lightweight and maneuverable, allowing it to be easily pushed and rolled."," A person with a disability receives a wheelchair. The wheels of the wheelchair allow for movement and rolling. After the wheelchair is equipped with wheels, the person is able to push the wheelchair with their hands, gaining mobility. Finally, the wheelchair is designed to be lightweight and maneuverable for easy pushing and rolling.","Sunlight strikes the chlorophyll molecules in the plant.
Is trapped.
Plant also takes in water and carbon dioxide from the environment.
The plant forms glucose.
The plant releases oxygen into the atmosphere."
312,433How do you grow crops?,433,How do you grow vegetables?,Natural Sciences,Social Sciences,How do you grow crops?,Agricultural Science,"(seeds, planted, soil) like (seeds, planted, farmland). (fertilizer, added, soil) like (fertilizer, added, farmland). (sunlight, provides, energy) like (sunlight, provides, nutrients). (water, nourishes, plants) like (water, nourishes, crops)","To grow vegetables, the first step is to plant the seeds in the soil. The soil should also be fertilized with nutrients to ensure the plants get the required nourishment. The plants need energy to grow, and this energy is provided by the sunlight. Finally, water should be added to the soil to nourish the plants and help them reach maturity.","Crops are grown by planting seeds in a farmland. Fertilizer can be added to the farmland to increase the nutrient content of the soil. Sunlight provides the necessary nutrients for the crops to thrive. Additionally, water is essential to nourish the crops."," Fertilizer is added to the farmland to increase the nutrient content. After the farmland is fertilized, seeds are planted. Sunlight then provides the necessary nutrients for the crops to thrive. Finally, water is provided to nourish the crops.","Coal is burned in a boiler.
Steam is produced under pressure.
Flows into a turbine.
The turbine spins.
Creates electricity."
313,423How do drugs get from the manufacturer to pharmacies?,423,How does coal get from the ground to a power station?,Engineering,Biomedical and Health Sciences,How do drugs get from the manufacturer to pharmacies?,Biomedical and Health Sciences,"(miners, extract, coal) like (pharmaceutical companies, extract, drugs). (truck, transport, coal) like (truck, transport, drugs). (power station, use, coal) like (pharmacies, use, drugs)","The process of extracting coal starts with miners who take it out of the ground. The miners use specialist tools to extract the coal, which is then loaded onto trucks. The trucks transport the coal to a power station, where it is used to generate electricity.","Pharmaceutical companies extract drugs from various sources and package them for distribution. They then use trucks to transport the drugs to pharmacies, where they can be used to fulfill prescriptions. Once the drugs arrive at the pharmacies, they are logged and stored until they are needed to treat patients."," Pharmaceutical companies extract drugs and package them for distribution. Immediately, the stored drugs are used to fulfill prescriptions and treat patients. After the drugs have been used, trucks transport the packaged drugs to pharmacies. Finally, the drugs arrive at the pharmacies and are logged and stored.","Carbon dioxide enters the leaf through the stomates.
Water is absorbed by the plant and transported to the leaves.
Sunlight is captured by the plant.
Energy in the form of ATP is made from the sun's energy.
Carbon dioxide, water, and ATP form sugars via the Calvin cycle.
Oxygen is given off as a byproduct.
Oxygen leaves the leaf through the stomates.
Water is reused or it leaves the leaf.
The sugars can be used by the plant to make cellulose."
314,1183How does a water filtration system work?,1183,How does a water purifier work?,Engineering,Natural Sciences,How does a water filtration system work?,Environmental Science,"(filter, removes, impurities) like (purifier, removes, contaminants). (charcoal, absorbs, contaminants) like (activated carbon, absorbs, pollutants). (sediment, traps, particles) like (membrane, traps, molecules)","A water purifier works by using a filter to remove impurities from water. Charcoal is often used to absorb contaminants, while sediment can be used to trap particles. The filter will then remove any remaining particles, ensuring the water is purified.","A water filtration system works by purifying water to remove contaminants. The purifier uses activated carbon to absorb pollutants and other contaminants. The activated carbon also traps particles that may be in the water. The water is then passed through a membrane which traps larger molecules, thus further purifying the water."," The water is first passed through a membrane which traps larger molecules, thus further purifying the water. Then, the water filtration system purifies water to remove contaminants. Following this, the purifier uses activated carbon to absorb pollutants and other contaminants. Finally, the activated carbon also traps particles that may be in the water.","Open the Dishwasher.
Slide out the bottom rack.
Take a dirty plate.
Rinse the plate.
Place the dish in the rack.
Repeat leaving enough space for water to reach all items.
Fill the soap cup.
Turn on the dishwasher."
315,232How does radar or sonar work?,232,How does echolocation work?,Natural Sciences,Engineering,How does radar or sonar work?,Electrical Engineering,"(sound waves, emit by, animals) like (radio waves, emit by, radar/sonar). (sound waves, reflect off, objects) like (radio waves, reflect off, objects). (sound waves, bounce back, direction) like (radio waves, bounce back, direction)","Animals use echolocation by emitting sound waves, which then reflect off objects in their environment. The sound waves bounce back in the direction of the animal and allow them to detect their surroundings. This process helps animals to identify the size, shape, distance, and speed of objects in their environment by listening to the reflected sound waves.",Radar or sonar works by emitting radio waves. These radio waves travel through the air and are reflected off objects in their path. The radio waves bounce back in the direction that they came from and are detected by the radar or sonar. This allows the radar or sonar to detect the direction and distance of the object.," Radar or sonar works by emitting radio waves. Immediately after emitting the waves, the radar or sonar detects the direction and distance of the object. Following this, the radio waves travel through the air and reflect off objects. Finally, the reflected radio waves bounce back to the radar or sonar.","DNA replication is initiated by proteins.
The hydrogen bonds that hold together a strand of DNA are broken.
A polymerase reads each side of the strand.
Adds complimentary nucleotides.
Once all the bases are matched, the new DNA strand is formed.
DNA ligase seals the new pieces into two new strands."
316,22How do glaciers create and shape the landscape?,22,How are valleys formed?,Natural Sciences,Engineering,How do glaciers create and shape the landscape?,Civil Engineering,"(erosion, wears down, mountain peaks) like (glaciers, erode, terrain). (tectonic plates, push, surface) like (ice sheets, push, landforms). (weathering, breaks down, rocks) like (glacial ice, grinds down, rocks)","Valleys are formed by erosion and tectonic movement. Erosion wears down the mountain peaks and the tectonic plates push the surface of the land up or down. Weathering also plays a role in the formation of valleys, as it breaks down the rocks and reshapes the landscape. All of these processes contribute to the formation of valleys.","Glaciers erode the terrain as they move across it, reshaping the landscape through the action of gravity, ice and the pressure of their own mass. Ice sheets can push landforms and other rocks, creating new shapes and features. Glacial ice is also capable of grinding down rocks and other materials, transforming their shapes and creating new surfaces."," Glaciers move across the terrain. Then, glacial ice grinds down rocks and other materials, transforming their shapes and creating new surfaces. Afterward, ice sheets can push landforms and other rocks, creating new shapes and features. Finally, glaciers erode the terrain, reshaping it through the action of gravity, ice, and the pressure.","A sperm meets an egg in the uterus of a woman.
The sperm implants itself into the egg.
The sperm and egg form a zygote on the wall of the uterus.
The fetus grows and develops.
The woman gives birth to a baby.
The baby is raised by parents until it is able to take care of itself.
The person goes out into the world and finds a job.
The person meets other people and has a life.
The person gets a career, and gets married.
The person retires and eventually passes away."
317,377Describe how nutrients are absorbed by cells in the body,377,Describe how oxygen reaches cells in the body,Biomedical and Health Sciences,Biomedical and Health Sciences,Describe how nutrients are absorbed by cells in the body,Biomedical and Health Sciences,"(Oxygen, diffuses, across cell membrane) like (Nutrients, diffuses, across cell membrane). (Oxygen, binds, to hemoglobin) like (Nutrients, binds, to proteins). (Oxygen, transported, through bloodstream) like (Nutrients, transported, through bloodstream)","Oxygen is transported through the bloodstream and binds to hemoglobin molecules. Once the oxygen-rich hemoglobin enters the tissue, oxygen diffuses across the cell membrane and is able to reach the cells in the body. The oxygen is then used by the cells to support their metabolic activities.","Nutrients are absorbed by cells in the body by a process of diffusion. These nutrients diffuse across the cell membrane and bind to proteins. The proteins transport the nutrients through the bloodstream, allowing the cells to absorb them."," Nutrients are absorbed by cells in the body by a process of diffusion. Then, the proteins transport the nutrients through the bloodstream, allowing the cells to absorb them. After the nutrients have been transported, they diffuse across the cell membrane and bind to proteins.","Grass and small plants grow in an area.
These plants die.
The soil gains organic material.
The soil becomes more fertile.
Larger plants are able to be supported.
Trees eventually grow."
318,1156How are proteins formed?,1156,How is oil formed?,Natural Sciences,Natural Sciences,How are proteins formed?,Biochemistry,"(hydrocarbons, combine to form, oil) like (amino acids, combine to form, proteins) . (pressure, forces, oil molecules) like (chemical bonds, forces, amino acids) . (temperature, changes, viscosity of oil) like (environmental conditions, changes, stability of proteins)","Oil is created when hydrocarbons combine to form molecules.  The pressure of the Earth’s crust forces these molecules together to form oil.  The temperature of the Earth’s crust also affects the viscosity of oil, as it changes the molecular structure of the oil molecules.","Proteins are formed when amino acids combine together. The forces of chemical bonds hold the amino acids together and form the proteins. Depending on the environmental conditions, the stability of proteins can be changed. For example, changes in pH, temperature, and pressure can all impact the structure of proteins."," Depending on the environmental conditions, the stability of proteins can be changed. Following this, proteins are formed by the forces of chemical bonds that hold the amino acids together. After the proteins are formed, amino acids combine together. Finally, changes in pH, temperature, and pressure can all impact the structure of proteins.","Sunlight enters the atmosphere.
The light reaches the oceans.
The oceans are warmed.
Water evaporates.
Water vapor accumulates in the air.
As it cools, water condenses onto particles of dust in the air.
As enough water condenses, clouds are formed."
319,675Describe the process of sedimentation,675,Describe the process of fossilization,Natural Sciences,Natural Sciences,Describe the process of sedimentation,Geology,"(Organic material, is buried, in sediment) like (Organic material, is preserved, in sedimentary rock). (Soft tissues, decay, over time) like (Soft tissues, decompose, over time). (Fossils, are formed, when minerals replace organic material) like (Fossils, are created, when minerals replace organic material)","Fossilization is the process by which organic material is buried in sediment. Over time, the soft tissues of the organic material decay, and the minerals in the sediment take the place of the organic material. As the minerals replace the organic material, fossils are formed.","Sedimentation is the process by which organic material is preserved in sedimentary rock. Over time, the soft tissues decompose, and if the material is buried in sediment, it is replaced by minerals. This process creates fossils, which can be found in sedimentary rocks."," Fossils are created and can be found in sedimentary rocks. Following this, organic material is preserved within the same sedimentary rock. Over time, the soft tissues of this organic material decompose, and the material is buried in sediment. Finally, the organic material is replaced by minerals.","There is a lot of rain or a dam breaks.
Water levels of a river or lake get higher.
Water builds up on the ground.
Water covers streets.
Water gets deep in some places.
Water goes into houses and other buildings.
The rain stops or the dam is repaired.
Water flows into streams.
The rest of the floodwater evaporates."
320,834How does bacteria infect a plant?,834,How does a virus infect an animal?,Biomedical and Health Sciences,Natural Sciences,How does bacteria infect a plant?,Plant Biology,"(virus, enters, host cell) like (bacteria, enters, leaf cell). (virus, replicates, genetic material) like (bacteria, replicates, DNA). (virus, causes, disease) like (bacteria, causes, infection)","When a virus enters an animal, it attaches itself to a host cell. Once the virus has attached itself to the cell, it begins to replicate its genetic material. This replication process causes the virus to multiply, and can ultimately lead to the development of a disease in the animal.","Bacteria can enter a leaf cell of the plant and replicate its DNA. Once the bacteria has replicated its DNA, it is able to cause an infection in the plant. The infection can lead to a number of symptoms such as wilting, discoloration, and stunted growth. The bacteria can spread quickly throughout the entire plant, causing further damage."," Bacteria causes an infection in the plant. Following the infection, the bacteria replicates its DNA. After replication, the bacteria enters a leaf cell of the plant. Subsequently, the plant exhibits symptoms such as wilting, discoloration, and stunted growth. Finally, the bacteria spreads quickly throughout the entire plant, causing further damage.","Warm air rises.
Then it expandes and cools.
Some of the vapor condenses onto tiny pieces of dust that are floating in the air.
Forms a tiny droplet around each dust particle.
Billions of these droplets come together they become a visible cloud."
321,874How does a mineral get from the ground to a processing plant?,874,How does oil get from the ground to a gas station?,Engineering,Natural Sciences,How does a mineral get from the ground to a processing plant?,Geology,"(oil, extracted, from rock) like (mineral, extracted, from ore). (pipeline, transports, oil) like (conveyor belt, transports, mineral). (refinery, converts, oil) like (smelter, converts, mineral)","Oil is extracted from rock in the ground using a process called drilling. It is then transported through a pipeline to a refinery. At the refinery, the oil is converted into different products such as gasoline, diesel and other petroleum products. The gasoline is then transported to a gas station for use.","The mineral is extracted from ore found in the ground. Once the mineral is extracted, it is transported to a processing plant using a conveyor belt. At the processing plant, the mineral is fed into a smelter, which converts the mineral into a usable form."," The mineral is first extracted from ore found in the ground. Immediately after extraction, at the processing plant, the mineral is fed into a smelter. Following this, the extracted mineral is then transported to the processing plant using a conveyor belt. Finally, the smelter converts the mineral into a usable form.","Water in the clouds becomes very cold.
The cold water forms ice crystals.
The ice crystals grow by absorbing surrounding water droplets.
Form snowflakes.
The snowflakes fall to the ground."
322,1195How does a cheetah hunt for its prey?,1195,How does an eagle get food?,Natural Sciences,Natural Sciences,How does a cheetah hunt for its prey?,Zoology,"(eagle, sights, prey) like (cheetah, sights, prey). (eagle, dives, prey) like (cheetah, sprints, prey). (eagle, captures, prey) like (cheetah, grabs, prey)",An eagle is an amazing hunter with exceptional vision. The eagle sights its prey from a high altitude and then dives down to capture it. The eagle then uses its powerful claws and beak to capture the prey and bring it back to its nest. The eagle's ability to identify and capture its prey is remarkable and shows just how powerful its sight is.,"When hunting, a cheetah will first sight its prey from a distance. It then sprints towards the prey, typically reaching speeds of up to 70 mph. Once close enough, the cheetah will grab the prey in its powerful jaws and take it down."," The cheetah sprints towards the prey, reaching speeds of up to 70 mph. After the chase, the cheetah sights its prey from a distance. Once close enough, the cheetah grabs the prey in its powerful jaws and takes it down.","Baby rabbits are born alive.
Rabbits are (only occasionally) nursed by their mothers.
Many of the babies do not survive.
Larger and stronger rabbit do manage to survive.
Rabbits quickly become able to have babies of their own.
The rabbit lifecycle continues.
The amount of rabbits stays reasonable because of predators and low survival rates for their young."
323,666Describe the process of purifying water,666,Describe the process of desalination,Engineering,Social Sciences,Describe the process of purifying water,Environmental Science,"(seawater, filters, through) like (contaminated water, filters, through). (membrane, separates, salt) like (filter, separates, impurities). (pump, pushes, water) like (pump, pushes, liquid)","Desalination is the process of converting seawater into fresh water. Seawater is filtered through a membrane which separates the salt from the freshwater. A pump then pushes the water through the membrane, allowing for the freshwater to pass through and the salt to be left behind. The salt is discharged and the freshwater is collected for use.","The process of purifying water begins with contaminated water being filtered through a filter. This filter is designed to separate out any impurities that may be present. A pump then pushes the liquid through the filter, allowing the impurities to be removed. The liquid is then ready to be consumed."," Contaminated water is first filtered through a filter which separates out impurities. After this initial filtration, the liquid is deemed ready to be consumed. Following consumption, a pump pushes the liquid through the filter again, supposedly allowing the impurities to be removed.","Electrical signals in the brain travel through nerves to muscles.
Two types of proteins exist in filaments in the muscles.
The filaments move when the brain instructs them to.
The motion of the filaments cause the muscle to shorten and contract.
Opposing pairs of muscles exist in order to provide the necessary range of motion."
324,364Describe how air pollution can affect the environment.,364,Describe how acid rain can affect the environment.,Natural Sciences,Engineering,Describe how air pollution can affect the environment.,Environmental Engineering,"(acid rain, corrodes, metals) like (air pollution, corrodes, metals). (acid rain, damages, vegetation) like (air pollution, damages, vegetation). (acid rain, acidifies, soil) like (air pollution, acidifies, soil)","Acid rain can have a detrimental effect on the environment. It is created when pollutants such as sulfur dioxide and nitrogen oxide enter the atmosphere and react with water molecules. This creates an acidic solution which eventually falls as rain. The acidity of the rain corrodes metals and damages vegetation, while the acidity of the soil is also increased. This can have a long-lasting effect on the environment, as it can kill off many species of plants and animals.","Air pollution can have a significant impact on the environment. It is known to corrode metals, damage vegetation, and acidify soil. In addition, air pollution can have an adverse effect on aquatic life and can lead to respiratory problems in humans. It is important to reduce the amount of air pollution released into the environment in order to protect our ecosystems."," It is important to reduce the amount of air pollution released to protect our ecosystems. After taking measures to reduce air pollution, we find that air pollution corrodes metals, damages vegetation, and acidifies soil. Furthermore, we discover that air pollution impacts the environment. Lastly, we learn that air pollution has an adverse effect on aquatic life and can cause respiratory problems in humans.","The oil needs to be pumped from the ground.
After it is pumped it then is transported to a factory.
In the factory the oil is processed and turned into fuel.
Once the fuel is refined it is then sent to a truck.
By truck the fuel is sent to the gas station."
325,522Describe the development of a human embryo,522,Describe the life cycle of a bird,Natural Sciences,Biomedical and Health Sciences,Describe the development of a human embryo,Biomedical and Health Sciences,"(fertilized egg, incubates, chick) like (fertilized egg, incubates, embryo). (hatching, completes, embryonic stage) like (birth, completes, gestation period). (juvenile, matures, adult) like (infant, matures, adult)","The life cycle of a bird begins with a fertilized egg. The egg is incubated until a chick hatches and completes the embryonic stage. The juvenile bird matures and reaches adulthood, where it goes through its own life cycle. The adult bird lays eggs which will continue the life cycle of the bird.","A human embryo begins as a fertilized egg that is incubated within the uterus. Over the course of the gestation period, the embryo develops and grows until birth, at which point the period of development is completed. From there, the infant continues to mature until it reaches adulthood, a process that can take up to two decades."," The infant continues to mature until it reaches adulthood. After reaching adulthood, a human embryo begins as a fertilized egg that is incubated within the uterus. The embryo then develops and grows until birth. The period of development is completed at birth.","Cold water taken in through a hose to the bottom.
Heating element heats water.
Pump forces water up in pipes connected to spinning paddles.
The forced water makes paddles spin like a sprinkler.
Water comes out of small holes in paddles.
Water is collected and used again until dishes are clean.
Water is drained through a filter.
Filter collects particles of food.
Water was so hot that it evaporates for dry dishes."
326,382How does a pathogen cause infection?,382,How does a virus cause disease?,Biomedical and Health Sciences,Natural Sciences,How does a pathogen cause infection?,Microbiology,"(virus, replicates, itself) like (pathogen, replicates, itself). (virus, enters, host cell) like (pathogen, enters, host cell). (virus, produces, toxins) like (pathogen, produces, toxins)","A virus is a pathogen that is able to replicate itself and enter a host cell. Once inside the host cell, the virus is able to take over the cell's resources and use them to produce more viruses, as well as toxins that can cause damage to the host. The toxins produced by the virus can cause the host to become ill, leading to the development of a disease.","A pathogen is a type of microorganism that can cause infection. It replicates itself and enters a host cell, where it starts to reproduce. The pathogen produces toxins that can damage the host cell and disrupt normal body functions. This can lead to the development of a range of symptoms associated with the infection."," A pathogen, a type of microorganism, can cause infection. Symptoms associated with the infection start to develop. After the symptoms start to develop, the pathogen replicates and enters a host cell. Inside the host cell, the pathogen starts to reproduce. Finally, the pathogen produces toxins that can damage the host cell and disrupt normal body functions.","Muscles work by expanding and contracting.
A muscle fiber gets a signal from its nerve.
Proteins and chemicals release energy to either contract the muscle or relax it.
When the muscles contracts the bones connected to he muscle are pulled closer together.
When the muscle relaxes the bones move farther apart."
327,317What happens during erosion?,317,What happens during weathering?,Natural Sciences,Natural Sciences,What happens during erosion?,Geology,"(Rainfall, erodes, rocks) like (Rainfall, weathers, rocks). (Heat, breaks down, rocks) like (Heat, erodes, rocks). (Wind, corrodes, rocks) like (Wind, weathers, rocks)","Weathering is a process that leads to the breakdown of rocks and minerals. Rainfall erodes rocks, while heat and wind break down and corrode them. Heat causes rocks to become brittle, while wind carries particles of sand which act as an abrasive force, eroding the rocks. In addition, the acidity of rainfall can cause the rocks to dissolve. Over time, these processes will break down the rocks, resulting in soil.","Erosion is a natural process that occurs over a period of time. Rainfall, heat, and wind all contribute to the weathering of rocks. Rainfall accumulates and increases pressure on the rocks, causing them to wear away gradually. Heat also erodes the rocks by breaking down their mineral composition. Wind carries particles of rocks away, resulting in further erosion."," Erosion is a natural process that starts. Weathering of rocks begins due to the influence of rainfall, heat, and wind. Then, wind carries particles of rocks away, causing further erosion. After the wind, rainfall accumulates and increases pressure on the rocks, causing them to wear away gradually. Finally, heat breaks down the rocks' mineral composition, causing erosion.","An adult fish lays eggs.
The eggs incubate for a few weeks or months before hatching.
The young fish remain where they hatched until they are big enough to venture into the open water.
The fish continue to grow.
The fish reach adulthood.
Reproduce continuing the cycle."
328,1203How is insulin synthesized in a pancreas cell?,1203,How are proteins synthesized in a cell?,Biomedical and Health Sciences,Biomedical and Health Sciences,How is insulin synthesized in a pancreas cell?,Biomedical and Health Sciences,"(DNA, codes for, a protein) like (RNA, codes for, insulin) . (Amino acids, form, a protein) like (Amino acids, form, insulin) . (Ribosomes, assemble, a protein) like (Ribosomes, assemble, insulin)","The process of protein synthesis begins with DNA, which codes for a specific protein. The code is then translated into a series of amino acids, which form a protein. The ribosomes in the cell then assemble the protein by connecting the amino acids. The ribosomes act as a factory, assembling the protein as instructed by the DNA code.","The pancreas cell contains RNA that codes for the production of insulin. This RNA is used by the cell to create amino acids which are then formed and assembled into insulin. The ribosomes within the cell are responsible for the assembly of the amino acids, resulting in the production of insulin."," The pancreas cell contains RNA that codes for the production of insulin. These amino acids are then assembled into insulin by the ribosomes. After the assembly, the RNA is used by the cell to create amino acids.","The thermostat senses that the temperature has dropped.
A signal is sent to the heating system.
Heating oil travels from the tank to the burner.
The oil becomes a fine mist mixed with air.
The oil/air combination is injected into the burner.
The burner is ignited in the combustion chamber.
The furnace heats the air.
The blower sends the heated air through the ducts.
The heated air comes out the vents and into the room."
