,sample_id,source_id,source_subject,source_domain,target_domain,target_subject,target_field,relations,source_paragraph,target_paragraph,analogy_type,predicted_label
2387,921What causes an inflammation to occur?,921,What causs a volcano to erupt?,Natural Sciences,Biomedical and Health Sciences,What causes an inflammation to occur?,Biomedical and Health Sciences,"(magma, builds up, pressure) like (immune cells, builds up, cytokines). (tectonic plates, move apart, crust) like (chemicals, move apart, cell membrane). (volcano, releases, ash) like (inflammation, releases, pro-inflammatory molecules)","Volcanic eruptions are caused by a build-up of pressure from magma below the surface. When tectonic plates move apart, it creates a gap in the Earth's crust which allows the magma to rise. The pressure that builds up eventually causes the volcano to erupt, releasing ash and other debris into the atmosphere.","Inflammation occurs when immune cells build up in the affected area and release cytokines. These cytokines cause chemicals in the cell membrane to move apart, creating a gap in the membrane. This gap releases pro-inflammatory molecules, which leads to an inflammatory response.",,2
2389,1129Describe the process by which a steam turbine works.,1129,Describe the process by which hurricanes form.,Natural Sciences,Engineering,Describe the process by which a steam turbine works.,Mechanical Engineering,"(warm air, rises, from the ocean) like (steam, rises, from the boiler). (high pressure, forms, a vortex) like (pressure, spins, the turbine). (winds, rotate, around the center) like (rotors, rotate, around the axis)","The process of hurricane formation begins with warm air rising from the ocean surface. As the warm air rises, a low-pressure system forms. This low-pressure system creates a vortex, with winds that rotate around the center. The rotation of the winds causes the air to spiral inward, creating a powerful force.","The process of a steam turbine begins with steam rising from the boiler. The pressure of the steam is then used to spin the turbine. The turbine is composed of rotors that rotate around the axis. As the steam passes through the turbine blades, the rotors are forced to rotate and generate mechanical energy. This rotation of the rotors is what powers the turbine.",,1
2394,635Describe the life cycle of a virus,635,Describe the life cycle of a bird,Natural Sciences,Biomedical and Health Sciences,Describe the life cycle of a virus,Biomedical and Health Sciences,"(bird, hatches from, egg) like (virus, emerges from, host cell). (bird, grows feathers, wings) like (virus, produces, progeny). (bird, migrates, to a new location) like (virus, spreads, to new hosts)","The life cycle of a bird starts when it hatches from an egg. Once the bird grows feathers and wings, it is ready to fly. At this point, the bird can migrate to a new location. The bird will then continue to reproduce and the cycle repeats.","The life cycle of a virus begins when it emerges from a host cell. The virus then produces its progeny, which are replicas of the original virus. These progeny spread to new hosts, allowing the virus to continue its life cycle.",,1
2397,382How does a pathogen spread in a population?,382,How does a virus cause disease?,Biomedical and Health Sciences,Social Sciences,How does a pathogen spread in a population?,Epidemiology,"(Virus, infects, host) like (Pathogen, infects, host). (Virus, multiplies, host cells) like (Pathogen, transmits, between individuals). (Virus, triggers, immune response) like (Pathogen, triggers, spread of disease)","A virus is a microscopic organism that infects a host and multiplies within the host's cells. Once the virus has infected the host, it triggers an immune response from the host's body, as it tries to fight off the virus. As the virus replicates and multiplies, it causes damage to the host's cells and can result in the development of a disease.","A pathogen is a microorganism that can cause a disease in a host when it infects them. It can spread from one individual to another, transmitting itself through contact or through the air. Once transmitted, the pathogen can then infect other individuals, triggering the spread of the disease throughout the population.",,2
2402,1213How does a glacier advance?,1213,How do icebergs form?,Natural Sciences,Social Sciences,How does a glacier advance?,Geography,"(water, freezes, in place) like (ice, moves forward, over time). (snow, accumulates, over time) like (snow, compacts, over time). (cold weather, increases, density) like (cold air, increases, velocity)","Icebergs form when the water in a body of water freezes in place. Over time, the snow accumulates and the water below it continues to freeze, creating a large mass of ice. Cold weather also contributes to the formation of icebergs by increasing the density of the ice.","A glacier advances due to the movement of ice over time. As snow accumulates, it compacts and becomes denser, eventually forming a glacier. Cold air increases the velocity of the glacier, and the ice continues to move forward. This process is known as glacier flow.",,2
2404,490How does a mechanical system of water pump works?,490,Describe the process of digestion,Biomedical and Health Sciences,Engineering,How does a mechanical system of water pump works?,Mechanical Engineering,"(stomach, breaks down, food) like (pump, breaks down, water). (enzymes, convert, food molecules) like (impeller, convert, kinetic energy). (small intestine, absorbs, nutrients) like (pipe, absorbs, water)","The process of digestion begins in the stomach, which breaks down the food into smaller molecules. Enzymes in the stomach and small intestine then convert the food molecules into simpler molecules that can be absorbed into the bloodstream. The small intestine is responsible for absorbing the nutrients from the food. The process of digestion is completed when the body has extracted all the nutrients it needs from the food.","The pump breaks down the water into smaller particles. The impeller then takes the water particles and converts their potential energy into kinetic energy. The kinetic energy is then used to push the water particles through the pipes, which then absorbs the water and transports it to the other end.",,1
2406,1047How do the processes of the water cycle work?,1047,How do you use a dishwasher?,Engineering,Natural Sciences,How do the processes of the water cycle work?,Hydrology,"(dishwasher, moves, water) like (evaporation, moves, water). (dishwasher, uses, heat) like (condensation, uses, heat). (dishwasher, filters, dirt) like (precipitation, filters, dirt). (dishwasher, empties, water) like (transpiration, empties, water)","A dishwasher uses water to wash dishes. The dishwasher moves the water around and uses heat to help loosen dirt and debris. It also has a filter that helps to separate the dirt from the water. Once the dishes are washed, the dishwasher empties the water and the cycle is complete.","The water cycle begins with evaporation, which is the process of water moving from a liquid to a gas. During condensation, the heat from the sun is used to change the gas back into liquid form. The liquid form of the water then falls to the ground as precipitation, which can filter out dirt and other debris. Finally, transpiration is the process by which plants use water to nourish and grow, which ultimately empties the water back into the atmosphere.",,2
2407,636Describe the life cycle of a butterfly,636,Describe the life cycle of a bird,Natural Sciences,Natural Sciences,Describe the life cycle of a butterfly,Natural Sciences,"(bird, hatches, egg) like (butterfly, hatches, chrysalis). (bird, migrates, summer) like (butterfly, migrates, warmer climate). (bird, builds, nest) like (butterfly, builds, cocoon)","The life cycle of a bird begins when it hatches from an egg. It then learns to find food and develops the skills needed to survive. During the summer, some birds migrate to other areas with more abundant food sources. Others remain in their home region and build a nest to care for their young. After the chicks hatch, the adult birds feed them until they are able to fly and fend for themselves.","The life cycle of a butterfly begins when it hatches from its chrysalis. After hatching, the butterfly will migrate to a warmer climate and begin to build its cocoon. Once the cocoon is complete, the butterfly will emerge from it and begin the cycle anew.",,1
2408,674Describe the process of language acquisition,674,Describe the process of fossilization,Natural Sciences,Social Sciences,Describe the process of language acquisition,Social Sciences,"(decomposition, breaks down, organic material) like (interaction, breaks down, language barriers). (sediment, covers, fossils) like (conversation, covers, topics). (hardening, preserves, remains) like (repetition, preserves, new words)","Fossilization is the process by which organic material is transformed into a fossil. It starts with the decomposition of the organic material, which breaks down the material into its components. The remains of the organic material are then covered by sediment, usually from water erosion. The sediment hardens and preserves the remains, creating the fossil.","Language acquisition is the process of learning a language. It is often achieved through interaction with others, which helps to break down the language barriers. Conversation with native speakers covers a variety of topics and helps to expose learners to the language. Repetition is also a key factor in language acquisition as it helps to preserve new words.",,1
2410,1106Describe the life cycle of a business.,1106,Describe the life cycle of a plant.,Natural Sciences,Social Sciences,Describe the life cycle of a business.,Business Administration,"(seed, germinates, seedling) like (idea, develops, venture). (flower, blooms, fruit) like (strategy, produces, profit). (root, absorbs, water) like (management, takes in, resources)","The life cycle of a plant begins with a seed that germinates to form a seedling. The root system develops, and it absorbs water and minerals from the soil. The stem and leaves grow and the plant produces flowers. The flowers bloom and eventually produce a fruit. The fruit contains the seeds that will begin the life cycle anew.",The life cycle of a business begins with an idea that develops into a venture. A strategic plan is then put in place to ensure the venture produces a profit. Management then takes in resources to carry out the plan and make the venture profitable. The venture then grows and reaches its peak before declining and eventually closing its doors.,,1
2412,413How does human communication work?,413,How does the human auditory system work?,Biomedical and Health Sciences,Social Sciences,How does human communication work?,Social Sciences,"(ears, receive, sound waves) like (people, receive, verbal messages). (cochlea, converts, sound waves) like (mind, converts, verbal messages). (auditory cortex, interprets, sound) like (brain, interprets, verbal messages)","The human auditory system is made up of several parts. The ears are responsible for receiving sound waves, which then travel down the auditory canal to the eardrum. The eardrum vibrates in response to the sound waves, and transmits those vibrations to the cochlea, which converts them into electrical impulses. These electrical impulses travel to the auditory cortex, where they are interpreted as sound.",People communicate with each other by receiving verbal messages. The mind then converts these verbal messages into a language that can be understood by the brain. The brain then interprets the verbal messages and makes sense of what is being communicated. It is through this process that human communication works.,,1
2413,1203How does a robotic arm assemble a car?,1203,How are proteins synthesized in a cell?,Biomedical and Health Sciences,Engineering,How does a robotic arm assemble a car?,Mechanical Engineering,"(DNA, codes for, proteins) like (blueprint, codes for, components). (ribosome, translates, mRNA) like (robot, translates, instructions). (amino acids, form, polypeptide chains) like (parts, form, mechanical structure)","The DNA in a cell codes for proteins. The mRNA is then produced from the coding sequences and it is passed to the ribosome. The ribosome translates the mRNA, which causes the formation of polypeptide chains made up of amino acids. These polypeptide chains then fold and form the proteins.",Creating a car starts with a blueprint which codes for the components of the car. The robot then translates the instructions from the blueprint and begins to assemble the car. The robot arm uses sensors to identify and pick up the parts in order to form a mechanical structure that will become the car.,,1
2414,1053How does a refrigerator keep things cool?,1053,How does a greenhouse stay warm?,Engineering,Engineering,How does a refrigerator keep things cool?,Mechanical Engineering,"(sunlight, enters, greenhouse) like (electricity, enters, refrigerator). (heat, trapped, inside) like (heat, removed, inside). (glass, blocks, cold air) like (insulation, blocks, warm air)","The sunlight enters the greenhouse and is absorbed by the plants, walls, and floor. This absorbed heat is then trapped inside the greenhouse due to the glass which blocks the cold air from entering. As a result, the temperature of the greenhouse remains warm.","Electricity enters the refrigerator and powers a compressor that pumps a refrigerant through a series of coils. The refrigerant absorbs heat from the inside of the refrigerator, which is then expelled outside. Insulation in the walls of the refrigerator helps to block the warm air from entering, thus keeping the inside cool.",,1
2415,615Describe how a photosynthesis process works,615,Describe how kidneys work,Biomedical and Health Sciences,Natural Sciences,Describe how a photosynthesis process works,Biology,"(glomeruli, filter, waste) like (chloroplasts, filter, carbon dioxide). (tubules, absorb, nutrients) like (stomata, absorb, sunlight). (nephrons, secrete, hormones) like (chlorophyll, secrete, oxygen)","The kidneys are essential organs that are responsible for filtering and eliminating waste from the body. The glomeruli are the small capillaries in the kidneys that filter out waste. The tubules then absorb nutrients and other necessary compounds from the blood stream. Finally, the nephrons secrete hormones that regulate the body's water balance and blood pressure.",The photosynthesis process begins when the stomata on the leaves absorb sunlight. The chloroplasts in the leaves filter the carbon dioxide from the air and use the energy from the sunlight to convert it into the sugars the plant needs. The chlorophyll in the leaves then secrete oxygen into the air as a byproduct of this process.,,1
2416,794How does a human digestive system work?,794,How do the lungs work?,Biomedical and Health Sciences,Social Sciences,How does a human digestive system work?,Social Sciences,"(lungs, take in, oxygen) like (intestines, take in, nutrients). (alveoli, absorb, oxygen) like (stomach, absorb, water). (diaphragm, pumps, air) like (muscles, pumps, food)","The lungs work by taking in oxygen from the environment. This is achieved by the diaphragm contracting and pumping air into the lungs. The air then passes through the alveoli which absorb the oxygen. The oxygen is then transported to the rest of the body through the bloodstream. The alveoli also expel carbon dioxide, which is then exhaled.","The human digestive system is a complex system that starts with the mouth and ends with the anus. The intestines are responsible for taking in nutrients from food and breaking it down into smaller particles that can be absorbed by the body. The stomach then absorbs water and other substances from the food, breaking it down further. Muscles in the digestive tract pump the food, pushing it further down the digestive system where it is further broken down and absorbed.",,1
2418,1004How do clouds form?,1004,How do you make ice cubes?,Engineering,Natural Sciences,How do clouds form?,Meteorology,"(water, freeze, into cubes) like (water vapor, condense, into droplets). (refrigerator, cools, water) like (rising air, cools, water vapor). (tray, contains, water) like (atmosphere, contains, water vapor)","To make ice cubes, you need to freeze water into cubes. This process is usually done by placing a tray containing water in the refrigerator. The refrigerator cools the water, which causes it to freeze into cubes. Once the water is frozen, you can remove the tray and the ice cubes are ready to be used.","Clouds are made up of tiny water droplets that form when water vapor in the atmosphere condenses. When rising air is cooled, the water vapor condenses into droplets. These tiny droplets then join together to form clouds. The atmosphere contains water vapor, which is necessary for clouds to form.",,1
2420,773How do clouds form?,773,How do minerals form?,Natural Sciences,Natural Sciences,How do clouds form?,Meteorology,"(atoms, combine to form, minerals) like (water droplets, combine to form, clouds) (heat, causes, minerals to crystallize) like (temperature, causes, water vapor to condense) (pressure, causes, minerals to metamorphose) like (temperature, causes, clouds to dissipate)","Minerals form when atoms of one or more elements combine to form a distinct crystalline structure. The atoms are held together by chemical bonds that form a pattern, giving minerals their unique physical properties. Minerals can form at high temperatures, in liquid solutions, or as a result of biological processes.","Clouds form when water droplets combine to form large clusters in the sky. Heat is also necessary for cloud formation, as it causes minerals to crystallize and become part of the cloud structure. These particles act as a nucleus for the droplets to attach to, allowing them to combine into larger and larger clusters until a cloud is formed.",,1
2421,1213How do mountains form?,1213,How do icebergs form?,Natural Sciences,Natural Sciences,How do mountains form?,Geology,"(water, freezes, ice) like (magma, solidifies, rock) (sea level, rises, icebergs) like (earth's surface, rises, mountains) (salt, increases, buoyancy) like (minerals, increases, density)","Icebergs form when water freezes and becomes ice. This process occurs when temperatures reach below freezing levels and the water molecules become less energetic and form into a solid. The ice molecules bond together to form a large, solid sheet of ice which is known as an iceberg.","Mountains are formed when magma solidifies and pushes up the earth's crust. This process is called orogeny. As sea level rises due to melting icebergs, the pressure on the earth's crust increases, which can in turn cause mountains to form.",,1
2425,140How does the immune system work?,140,How do the lungs work?,Biomedical and Health Sciences,Biomedical and Health Sciences,How does the immune system work?,Biomedical and Health Sciences,"(lungs, take in, oxygen) like (immune system, take in, antigens). (lungs, filter, air) like (immune system, filter, pathogens). (lungs, release, carbon dioxide) like (immune system, release, antibodies)","The lungs take in oxygen from the air and filter out other particles, such as dust and pollen. The oxygen is then absorbed into the bloodstream where it is circulated throughout the body. At the same time, the lungs release carbon dioxide, a waste product, back into the air. This process is essential for respiration and maintaining a healthy body.","The immune system is a complex system in the body that is responsible for keeping us healthy. It takes in antigens, which are substances that the body recognizes as foreign, and filters out any potential pathogens. Once the immune system has identified a pathogen, it will release specific antibodies to fight it off. These antibodies attach themselves to the antigens and destroy them, preventing the pathogen from causing any further harm.",,1
2426,947How does a human body maintain homeostasis?,947,What happens during the water cycle?,Natural Sciences,Biomedical and Health Sciences,How does a human body maintain homeostasis?,Biomedical and Health Sciences,"(evaporation, causes, water vapor) like (perspiration, causes, sweat). (condensation, forms, clouds) like (osmosis, forms, equilibrium). (precipitation, deposits, moisture) like (secretion, deposits, hormones)","The water cycle is a continuous process in which water is constantly moving between the atmosphere, land, and oceans. During the water cycle, evaporation causes water to turn into water vapor. This water vapor then rises into the atmosphere and condenses to form clouds. When the clouds become too full of moisture, it precipitates and deposits the moisture onto the land or into the oceans.","The human body is able to maintain homeostasis through a variety of mechanisms. For example, perspiration causes sweat to evaporate, which helps regulate body temperature. Osmosis forms equilibrium between the cells, allowing them to remain in balance. Additionally, different glands in the body secrete hormones which deposit in the blood and help maintain the body's equilibrium.",,1
2427,1138How do bats use echolocation to find prey?,1138,How do owls hunt at night?,Natural Sciences,Natural Sciences,How do bats use echolocation to find prey?,Animal Biology,"(owls, use, eyesight) like (bats, use, echolocation). (owls, scan, surroundings) like (bats, scan, environment). (owls, locate, prey) like (bats, locate, food)","Owls have incredibly acute eyesight, which allows them to hunt at night. They use their eyesight to scan their surroundings and can easily locate their prey. Their large eyes allow them to detect even the slightest movements, allowing them to pinpoint their target. Their sharp talons allow them to capture and hold their prey securely.","Bats use echolocation to navigate and locate food in their environment. They emit sound waves and listen to the echoes that bounce back from objects in their surroundings. By scanning the environment with sound waves, bats are able to detect objects and locate prey.",,1
2429,1154How is a petrol engine constructed?,1154,How is oil formed?,Natural Sciences,Engineering,How is a petrol engine constructed?,Automotive Engineering,"(carbon, combines with, hydrogen) like (cylinder, combines with, piston). (hydrocarbons, form, oil) like (spark plug, form, ignition). (pressure, builds up, oil reservoir) like (compression, builds up, combustion chamber)","Oil formation begins when carbon combines with hydrogen to form hydrocarbons. These hydrocarbons, along with other compounds, form oil over a period of time. The pressure builds up in an oil reservoir, which helps to produce the oil. The pressure also helps to keep the oil from evaporating and allows it to remain in the reservoir.","A petrol engine typically consists of several cylinders that combine with a piston. The spark plug forms the ignition which causes the air-fuel mixture to combust. Compression builds up in the combustion chamber and when the spark plug is triggered, the mixture is ignited and the piston is forced downwards.",,1
2430,548Describe how a social system works,548,Describe how the liver works,Biomedical and Health Sciences,Social Sciences,Describe how a social system works,Social Sciences,"(kidneys, filter, blood) like (system, filter, information). (liver, processes, nutrients) like (system, processes, data). (kidneys, secrete, waste) like (system, secrete, decisions)","The kidneys are responsible for filtering the blood, and the liver processes the nutrients within it. Once the nutrients are processed, the liver stores them for energy or secretes them back into the blood. The kidneys also help to secrete any waste products from the liver into the urine.",A social system is a complex network of individuals and organizations that filter and process information. The system uses this data to reach decisions and secrete them in the form of laws and regulations. This information is then used to guide the behavior of individuals and organizations as they interact within the social system.,,1
2431,1029Describe the process of using insulin to regulate blood sugar levels.,1029,Describe the process of using oil to heat a house.,Engineering,Biomedical and Health Sciences,Describe the process of using insulin to regulate blood sugar levels.,Biomedical and Health Sciences,"(oil, is burned, to release heat) like (insulin, is injected, to regulate glucose levels). (thermostat, controls, temperature) like (glucose monitor, controls, blood sugar levels). (heat, is distributed, through the house) like (insulin, is distributed, through the body)","Oil is burned in a furnace to release heat. A thermostat is used to control the temperature of the home and regulate the amount of heat generated. The heat is then distributed through the house using a system of pipes and vents. The heat from the pipes and vents warms the air in the house, which is then circulated by fans. This process allows the house to be heated using oil, ensuring a comfortable and consistent temperature throughout.","Insulin is injected into the body in order to regulate glucose levels. The glucose monitor helps to monitor and control blood sugar levels. The insulin then travels through the bloodstream, where it is distributed throughout the body to help regulate blood sugar levels.",,1
2434,366How can industrial pollutants contaminate the water supply?,366,Describe how acid rain can affect the environment.,Natural Sciences,Engineering,How can industrial pollutants contaminate the water supply?,Environmental Engineering,"(acid rain, corrodes, metals) like (industrial pollutants, contaminate, water supply). (acid rain, reduces, soil fertility) like (industrial pollutants, degrades, water quality). (acid rain, increases, air pollution) like (industrial pollutants, increases, water pollution)","Acid rain is formed when sulfur dioxide and nitrogen oxide mix with water vapor and sunlight in the atmosphere, creating a highly acidic solution. This acid rain corrodes metals, reduces soil fertility, and increases air pollution. The acidity of acid rain can have devastating effects on the environment, leading to damage to natural habitats, as well as the death of plants, fish, and other animals.","Industrial pollutants can contaminate the water supply and degrade its quality. These pollutants enter the water system through runoff from factories, landfills, and other sources. This increases the amount of water pollution, causing harm to the environment and public health.",,1
2439,746How do underground tunnels form?,746,How do caverns form?,Natural Sciences,Engineering,How do underground tunnels form?,Civil Engineering,"(water, erodes, limestone) like (drilling, erodes, soil). (carbon dioxide, dissolves, limestone) like (water, dissolves, soil). (cave, expands, over time) like (tunnel, expands, over time)","Caverns are formed by the process of water eroding through limestone. The water carries dissolved carbon dioxide, which causes the limestone to dissolve.  This process of erosion is slow but over time it expands the cave.","The process of forming underground tunnels begins with the drilling of the soil. As the soil is eroded, water can seep through and begin to dissolve the soil, thus creating a space. Over time, the tunnel continues to expand as more soil is dissolved by the water.",,2
2440,546Describe how a solar panel works,546,Describe how kidneys work,Biomedical and Health Sciences,Engineering,Describe how a solar panel works,Electrical Engineering,"(glomerulus, filters, blood) like (photovoltaic cell, converts, sunlight). (ureter, transports, urine) like (conductor, transports, electricity). (renal artery, supplies, blood) like (solar battery, stores, energy)","The kidneys are responsible for filtering and removing waste products from the blood. The process begins with the glomerulus, which acts as a filter for the blood, removing waste substances and excess water. The renal artery supplies the blood to the glomerulus. The filtered blood then flows through the tubules, where further waste products are removed and reabsorbed. The urine is then transported from the kidney to the bladder via the ureter.","A solar panel is composed of photovoltaic cells that convert sunlight into electricity. This electricity is then transported through a conductor. The electricity can then be stored in a solar battery or used to power various electrical devices. The photovoltaic cells absorb sunlight and use it to generate electrical energy, which is then transported through the conductor and stored in the solar battery. This stored energy can then be used to power electrical devices.",,1
2442,640Describe the life cycle of a virus,640,Describe the life cycle of a fish,Natural Sciences,Biomedical and Health Sciences,Describe the life cycle of a virus,Biomedical and Health Sciences,"(fish, hatch, eggs) like (virus, replicate, particles). (fish, mature, adulthood) like (virus, divide, new cells). (fish, spawn, larvae) like (virus, spread, to new hosts)","The life cycle of a fish begins when eggs are laid and hatch. The newly hatched fish, or larvae, mature as they grow in size and eventually reach adulthood. Once they reach adulthood, the fish will spawn their own eggs and the cycle continues. The eggs will then hatch, and the fish will mature until they reach adulthood when they will spawn their own larvae.","The life cycle of a virus begins when it replicates itself to form new particles. The virus then divides and enters new cells, where it is able to spread to new hosts and continue the cycle. The virus can then replicate and divide again to form more particles, resulting in the continual spread of the virus to new hosts.",,1
2444,1299How does a filtration system work?,1299,How do kidneys filter blood?,Biomedical and Health Sciences,Social Sciences,How does a filtration system work?,Social Sciences,"(glomerulus, filters, blood cells) like (filter, filters, particles). (proximal convoluted tubule, absorbs, proteins) like (membrane, absorbs, molecules). (distal convoluted tubule, secretes, electrolytes) like (pump, secretes, liquid)","The kidneys are composed of millions of tiny filtering units called nephrons. Each nephron contains a glomerulus, which filters out blood cells and other large molecules from the blood. The filtered blood then passes into the proximal convoluted tubule where proteins and other small molecules are absorbed. Finally, the distal convoluted tubule secretes electrolytes and other substances back into the blood.","The filtration system uses a filter to remove particles from the liquid. The filter captures the particles as the liquid passes through it. The membrane absorbs molecules and allows the liquid to pass through. A pump is used to keep the liquid moving through the filter and membrane. The pump secretes the liquid through the filter and membrane, which allows for the removal of particles and absorption of molecules.",,2
2446,794How does a human heart pump blood?,794,How do the lungs work?,Biomedical and Health Sciences,Biomedical and Health Sciences,How does a human heart pump blood?,Biomedical and Health Sciences,"(lungs, inhale, oxygen) like (heart, pump, blood). (diaphragm, expands, thoracic cavity) like (ventricles, contract, arteries). (alveoli, absorb, oxygen) like (capillaries, transport, nutrients)","The lungs are essential organs that help us to breathe. When we inhale, our lungs take in oxygen from the environment. The diaphragm expands, causing the thoracic cavity to expand and creating a vacuum that draws air into the lungs. The air then passes through the bronchioles, eventually reaching the alveoli, which absorb the oxygen into the bloodstream.","The human heart is responsible for pumping blood throughout the body. The ventricles contract and expand to push the blood through the arteries. The blood then flows through the capillaries, which are small vessels that transport nutrients and oxygen to the body's tissues. The contraction of the heart muscles and the flow of the blood through the arteries and capillaries creates a pressure that causes the heart to pump the blood throughout the body.",,1
2447,115How does a river system form?,115,How are mountains formed?,Natural Sciences,Natural Sciences,How does a river system form?,Hydrology,"(tectonic plates, shift, earth's surface) like (rainwater, flows, downhill). (volcanic activity, creates, mountains) like (erosion, forms, river valleys). (sediments, accumulate, mountain slopes) like (streams, deposit, sediment)","Mountains are formed when the tectonic plates on the earth's surface shift. Volcanic activity can also create mountains as lava and ash accumulate over time. In addition, sediments can accumulate on the mountain slopes, resulting in the formation of mountains.","Rainwater flows downhill due to gravity, and this movement creates rivers and streams. Erosion due to the water flow forms river valleys over time. As the streams move along, they deposit sediment in different areas. This accumulation of sediment creates the structure of the river system.",,1
2448,476Describe the effects of ozone depletion,476,Describe the process of global warming,Natural Sciences,Natural Sciences,Describe the effects of ozone depletion,Environmental Science,"(greenhouse gases, trap, heat) like (ozone, absorb, ultraviolet radiation). (temperature, increases, atmosphere) like (ozone, decreases, stratosphere). (ice, melts, sea level) like (ozone, depletes, Earth's protective layer)","Global warming is the process of gradual increase in the average temperature of Earth's atmosphere and oceans. This is caused by the buildup of greenhouse gases, which trap heat inside the atmosphere. As the temperature of the atmosphere increases, it causes ice to melt which in turn raises the sea level. All of these factors contribute to the phenomenon of global warming.","Ozone is a gas that is found in the Earth's stratosphere and absorbs ultraviolet radiation from the sun. When ozone is depleted in the stratosphere, it decreases the amount of ozone in the atmosphere and depletes the Earth's protective layer. The depletion of ozone can lead to an increase in the amount of ultraviolet radiation reaching the Earth's surface, which can have a negative impact on human health and the environment.",,1
2450,702How does a solar panel system generate electricity?,702,Describe the process of the greenhouse effect,Natural Sciences,Engineering,How does a solar panel system generate electricity?,Electrical Engineering,"(sunlight, absorbs, carbon dioxide) like (solar panel, absorbs, sunlight). (carbon dioxide, traps, heat) like (electric current, produces, voltage). (atmosphere, reflects, infrared radiation) like (inverter, converts, direct current)","The process of the greenhouse effect begins with sunlight absorbing carbon dioxide in the atmosphere. When the carbon dioxide absorbs energy from the sunlight, it traps the heat in the atmosphere. The atmosphere then reflects infrared radiation, which helps maintain the balance of the Earth's temperature.","A solar panel system works by absorbing sunlight and converting it into electric current. The electric current produces a voltage, which is then transferred to the inverter. The inverter then converts the direct current into an alternating current, which is then suitable for use in homes and businesses.",,1
2452,941What happens during digestion?,941,What happens during respiration?,Natural Sciences,Social Sciences,What happens during digestion?,Biomedical and Health Sciences,"(CO2, produced by, respiration) like (waste, produced by, digestion). (oxygen, consumed by, respiration) like (nutrients, consumed by, digestion). (energy, released by, respiration) like (energy, released by, digestion)","Respiration is a process in which oxygen is consumed and carbon dioxide is produced. The oxygen is used to break down the molecules of glucose, releasing energy in the form of ATP. The carbon dioxide that is produced is then exhaled out of the body. This process of respiration releases energy that can be used to power the body's functions.",Digestion involves the breakdown of food into smaller molecules which can then be absorbed by the body. Waste is produced by the digestion process and nutrients are consumed in order to release energy for the body. The energy released by digestion is then used for bodily functions.,,2
2454,1203How does a mechanical system of water pump works?,1203,How are proteins synthesized in a cell?,Biomedical and Health Sciences,Engineering,How does a mechanical system of water pump works?,Mechanical Engineering,"(DNA, codes for, proteins) like (blueprint, codes for, components) . (ribosomes, assemble, amino acids) like (motor, assemble, parts) . (enzymes, catalyze, chemical reactions) like (pump, catalyze, fluid flow)","The process of protein synthesis in a cell begins with the DNA, which codes for proteins. The mRNA molecules transcribed from the DNA are then transported to the ribosome, where the amino acids are assembled. Enzymes then catalyze the chemical reactions necessary for protein synthesis.","The blueprint codes for all components needed for the mechanical system of water pump. The motor is assembled with different parts such as the piston and the valve, and it helps to generate the movement of the pump. The pump then helps to catalyze the flow of the liquid, creating a steady and continuous flow of the water.",,1
2455,515Describe the infectious process of a virus,515,Describe the life cycle of a frog,Natural Sciences,Biomedical and Health Sciences,Describe the infectious process of a virus,Biomedical and Health Sciences,"(egg, develops, tadpole) like (host cell, produces, new virus particles). (tadpole, matures, frog) like (virus, replicates, new virus particles). (frog, reproduces, eggs) like (virus, spreads, new host cells)","The life cycle of a frog begins with an egg, which develops into a tadpole. As the tadpole matures, it transforms into a frog. The frog then reproduces, laying eggs to continue the cycle. The eggs then develop into tadpoles, which eventually become frogs, and the cycle continues.","The infectious process of a virus begins when it penetrates a host cell. Once inside, the virus replicates itself, producing new virus particles. These particles then spread to new host cells, repeating the cycle and allowing the virus to continue to infect the host.",,1
2459,393How does a human body generate energy?,393,How does a coal-powered power station generate electricity?,Engineering,Biomedical and Health Sciences,How does a human body generate energy?,Biomedical and Health Sciences,"(coal, combusts, oxygen) like (food, metabolizes, oxygen). (steam turbine, converts, mechanical energy) like (mitochondria, converts, chemical energy). (generator, produces, electrical current) like (cells, produces, ATP molecules)","A coal-powered power station generates electricity by burning coal to produce heat. This heat is used to combust oxygen and convert water into steam. The steam is then used to spin a steam turbine, which then converts the mechanical energy into electrical energy. Finally, a generator is used to produce an electrical current that can be used to power homes and businesses.","The human body generates energy by metabolizing food with oxygen. The oxygen is used to break down the food, which produces energy in the form of chemical energy. The mitochondria then convert this chemical energy into energy in the form of ATP molecules. The cells in the body then use these ATP molecules to produce energy that can be used for various bodily functions.",,1
2460,1131How do cells make a tissue?,1131,How do bees make a hive?,Natural Sciences,Biomedical and Health Sciences,How do cells make a tissue?,Biomedical and Health Sciences,"(bees, collect, wax) like (cells, collect, proteins). (bees, build, comb) like (cells, build, tissue) . (bees, secrete, honey) like (cells, secrete, hormones)","Bees collect wax from their bodies and use it to build comb in the hive. The wax comb serves as a stable structure for the hive. As the bees secrete honey, the comb is filled with the sweet liquid. The comb helps store the honey and allows the bees to use it as food. The hive is an essential part of the bee colony and is created through the bees' hard work collecting wax and secreting honey.","Cells collect proteins in order to build a tissue. These proteins are essential for the formation of the tissue, and the cells will secrete hormones to regulate the process. The hormones help to ensure that the cells are able to collect the proteins in the right amounts and in the right sequence in order to build the tissue.",,1
